Gene symbol	TCGA-05-4244-01	TCGA-05-4249-01	TCGA-05-4250-01	TCGA-05-4382-01	TCGA-05-4384-01
NAGPA	346.9762	257.5654	275.5533	315.4818	276.7257
NAGS	460.7732	107.2116	321.9763	207.9553	156.3836
NAIF1	217.1219	202.5108	132.3054	303.1984	213.1949
NAIP	101.2305	87.8942	77.261	134.4889	98.3506
NALCN	13.9628	36.7031	48.0809	114.866	29.9328
NAMPT	3245.6584	1257.8849	5465.6387	4059.077	3477.7031
NANOG	0.3491	0.9659	0	0.7179	3.0544
NANOS1	138.9301	95.6211	116.0574	113.9088	253.5125
NANOS2	0	0	0	0.2393	0
NANOS3	3.8398	2.5757	4.9739	5.2647	4.2761
NANP	158.4781	296.8441	260.3001	218.2454	155.7728
NANS	1011.5054	824.5312	546.1328	886.8612	675.6261
NAP1L1	7642.9008	5718.2734	6856.006	5687.7811	5160.0489
NAP1L2	79.239	22.8589	97.4882	8.6149	47.0373
NAP1L3	10.4721	29.2981	27.1906	43.5534	18.3262
